id|device|contagem|data|temperatura|umidade|luminosidade|ruido|eco2|etvoc|latitude|longitude
3810679|sirrosteste_UCS_AMV-16|9296|2024-07-15 02:41:45.601424|8.3|99.9|0.1|68.0|20.0|403.0|-29.449041|-50.582783
3810692|sirrosteste_UCS_AMV-16|9297|2024-07-15 02:42:45.560483|8.3|99.9|0.1|67.5|20.0|403.0|-29.448957|-50.582855
3566876|sirrosteste_UCS_AMV-16|3730|2024-07-02 03:27:02.417778|4.0|78.1|0.1|68.6|1.0|412.0|-29.449024|-50.582695
3566889|sirrosteste_UCS_AMV-16|3731|2024-07-02 03:28:02.700060|4.0|78.0|0.1|67.3|1.0|412.0|-29.449123|-50.582691
3566902|sirrosteste_UCS_AMV-16|3732|2024-07-02 03:29:02.735813|||||||-29.44912|-50.582623
3567045|sirrosteste_UCS_AMV-16|3743|2024-07-02 03:40:02.518681|4.2|77.6|0.1|64.7|1.0|412.0|-29.448996|-50.582668
3567058|sirrosteste_UCS_AMV-16|3744|2024-07-02 03:41:02.459749|4.2|77.6|0.0|63.2|1.0|412.0|-29.449183|-50.582905
3567071|sirrosteste_UCS_AMV-16|3745|2024-07-02 03:42:02.057564|4.2|77.4|0.1|61.7|1.0|412.0|-29.44908|-50.582935
3566954|sirrosteste_UCS_AMV-16|3736|2024-07-02 03:33:02.615669|4.1|77.9|0.1|59.5|1.0|412.0|-29.449078|-50.5826
3566967|sirrosteste_UCS_AMV-16|3737|2024-07-02 03:34:02.375712|4.1|77.9|0.1|57.7|1.0|412.0|-29.448973|-50.582642
